dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
11/01/15 16:42;6.37 Mbit/s;6.2 Mbit/s;43.55 ms;14.72 ms;4.49 Mbit/s;6.51 Mbit/s;2.08 %;2.08 %;PTT Metro de Sao Paulo - Nodo 3;;;;;
11/01/15 14:42;5.49 Mbit/s;7.62 Mbit/s;2.62 ms;28.58 ms;4.91 Mbit/s;7.11 Mbit/s;1.57 %;1.57 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
11/01/15 10:42;3.57 Mbit/s;10.69 Mbit/s;< 1 ms;5.39 ms;3.96 Mbit/s;10.94 Mbit/s;2.07 %;2.07 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
11/01/15 09:42;11.24 Mbit/s;9.25 Mbit/s;2.29 ms;1.27 ms;-;1.14 Mbit/s;1.4 %;1.4 %;PTT Metro de Sao Paulo - Nodo 1;;;;;
11/01/15 07:42;6.68 Mbit/s;13.45 Mbit/s;2.12 ms;3.68 ms;7.03 Mbit/s;14.48 Mbit/s;0.74 %;0.74 %;PTT Metro de Campinas;;;;;
11/01/15 06:42;5.19 Mbit/s;3.88 Mbit/s;43.12 ms;5.93 ms;5.79 Mbit/s;4.2 Mbit/s;3.52 %;3.52 %;PTT Metro de Campinas;;;;;
11/01/15 04:42;5.93 Mbit/s;12.02 Mbit/s;1.72 ms;2.41 ms;6.82 Mbit/s;10.97 Mbit/s;6.47 %;6.47 %;PTT Metro de Sao Paulo - Nodo 4;;;;;
11/01/15 03:42;10.95 Mbit/s;10.34 Mbit/s;< 1 ms;1.73 ms;-;11.12 Mbit/s;5.65 %;5.65 %;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
11/01/15 01:43;6.58 Mbit/s;10.77 Mbit/s;< 1 ms;4.33 ms;6.92 Mbit/s;11.44 Mbit/s;5.04 %;5.04 %;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
;;;;;;;;;;12/01/15 15:56;5.12 ms;null;false;
;;;;;;;;;;12/01/15 09:56;87.51 ms;null;false;
;;;;;;;;;;12/01/15 06:56;4.61 ms;null;false;
;;;;;;;;;;12/01/15 03:56;14.95 ms;null;false;
;;;;;;;;;;12/01/15 02:56;4.84 ms;null;false;
;;;;;;;;;;12/01/15 01:56;5.29 ms;null;false;
;;;;;;;;;;12/01/15 00:56;8.5 ms;null;false;
;;;;;;;;;;11/01/15 16:56;11.76 ms;null;false;
;;;;;;;;;;11/01/15 05:56;7.86 ms;null;false;
;;;;;;;;;;11/01/15 01:56;6.46 ms;null;false;
